id,manufacturer,model,icao24,callsign,origin_country,altitude_m,velocity_ms,estimated_fuel_burn_kg_h,estimated_co2_kg_h,captured_at,loaded_at
1,Boeing,737NG 84P/W,4acb02,NSZ2863,Sweden,4762.5,247.65,2400,7584,2026-08-17 19:45:01,2026-08-17 20:37:37.750911
2,Airbus,A321,471efd,WMT3639,Hungary,10980.42,223.08,2700,8532,2026-08-17 20:37:26,2026-08-17 20:37:37.750911
3,Airbus,Airbus A319 132,3c5ee5,EWG33N,Germany,10378.44,215.5,2300,7268,2026-08-17 20:37:27,2026-08-17 20:37:37.750911
4,Airbus,A319 132,3c5ee4,EWG32G,Germany,11590.02,187.05,2300,7268,2026-08-17 20:37:27,2026-08-17 20:37:37.750911
5,Airbus,A319 132,3c5ee3,EWG967,Germany,11079.48,191.02,2300,7268,2026-08-17 20:37:26,2026-08-17 20:37:37.750911
6,Airbus,A319 132,3c5ef6,EWG6VJ,Germany,30.48,65.34,2300,7268,2026-08-17 20:36:50,2026-08-17 20:37:37.750911
7,Airbus,A321 271NXSL,46b82a,AEE712,Greece,4960.62,188.67,2700,8532,2026-08-17 20:37:27,2026-08-17 20:37:37.750911
8,Airbus,A321 271NXSL,46b82b,AEE927,Greece,10995.66,222.67,2700,8532,2026-08-17 20:37:27,2026-08-17 20:37:37.750911
9,Airbus,A319 132,3c5eec,EWG8CK,Germany,3688.08,171.24,2300,7268,2026-08-17 20:37:27,2026-08-17 20:37:37.750911
10,Airbus,Airbus A319 132,3c5eeb,EWG65DM,Germany,10980.42,223.86,2300,7268,2026-08-17 20:37:26,2026-08-17 20:37:37.750911
11,Airbus,A320-214,440219,EJU16CF,Austria,1889.76,116.1,2500,7900,2026-08-17 20:37:26,2026-08-17 20:37:37.750911
12,Airbus,A320-216,44022b,AUA380,Austria,10302.24,215.66,2500,7900,2026-08-17 20:37:26,2026-08-17 20:37:37.750911
13,Airbus,A320 214,343194,VLG53DB,Spain,342.9,84.31,2500,7900,2026-08-17 20:37:26,2026-08-17 20:37:37.750911
14,Airbus,A321 111,393323,AFR62AP,France,2407.92,136.94,2700,8532,2026-08-17 20:37:27,2026-08-17 20:37:37.750911
15,Airbus,A320 216SL,34448d,IBS17ME,Spain,9456.42,255.91,2500,7900,2026-08-17 20:37:26,2026-08-17 20:37:37.750911
16,Airbus,A319 132,3c5eee,EWG6PR,Germany,1577.34,128.79,2300,7268,2026-08-17 20:37:27,2026-08-17 20:37:37.750911
17,Airbus,A320 214,343141,IBS1835,Spain,3390.9,144.57,2500,7900,2026-08-17 20:35:40,2026-08-17 20:37:37.750911
18,Airbus,A320 232SL,471f86,WMT761,Hungary,10980.42,223.69,2500,7900,2026-08-17 20:37:27,2026-08-17 20:37:37.750911
19,Airbus,Airbus A321 231SL,471f6a,WZZ8603,Hungary,11277.6,248.27,2700,8532,2026-08-17 20:37:27,2026-08-17 20:37:37.750911
